Hybridizer,R 13,Name,Year,Type,1,2,3,4,5,6
"Aitken, Terry",*,Bat Wings,2013,SIB, , , , ,x, 
"Aitken, Terry",*,Burgundy Firewoorks,2013,SIB,x,x,x,x,x,x
"Aitken, Terry",*,Pacific Tapestry,2010,PCI,x,x,,,,x
"Aitken, Terry",*,Pacific Pixie,2013,PCI,x,x, , ,  x,x
"Baker, Ted",*,B-07-111,,PCI,x,x,,,,x
"Baker, Ted",*,B-07-133,,PCI,x,x,,,,x
"Baker, Ted",*,B-07-144,,PCI,x,x,,,,x
Bob Baurer/John Coble,,Blueberry Brandy,2009,SIB,x,x,,,,x
Bob Baurer/John Coble,,Concord Crush,2010,SIB,x,x,,,,x
Bob Baurer/John Coble,,First Frost,2013,SIB,x,x,,,,x
Bob Baurer/John Coble,,Old Vine Zen,2013,SIB,x,x,,,,x
"Betzer, Ron",,Rooster,2014,LA,x,x,,,,
"Butler, Rita",*,More Raspberries Please,,VERS,x,x,x,x,x,x
"Cole, Deborah",*,Egocentric,2007,PCI,x,x,,x,x,x
"Cole, Deborah",*,Periwinkle Persian,2006,PCI,x,x,,x,x,x
"Cole, Deborah",*,Red Delicious,,PCI,x,x,,x,x,x
"Cole, Deborah",*,Scarlet Woman,,PCI,x,x,x,,x,x
"Cole, Deborah",*,Susanna Wept,,PCI,x,x,x,,x,x
"Copeland, Jill",,Do The Math,2008,VERS,x,x,,,x,x
"Copeland, Jill",,Simply Cute,2015,BIVE,x,x,,x,x,x
"Copeland, Jill",,Lemony Snicket,,PSEU,x,x,,,x,x
"Copeland, Jill",,HP-2,,PSEU,x,x,,x,x,x
